Make,Model,Serial,Number,Notes
Hydrological Services Pty Ltd,TB3,09-103,13319,
Paroscientific,Paroscientific meterological sensor,65123,,
Paroscientific,Paroscientific meterological sensor,65125,,
Paroscientific,Paroscientific meterological sensor,65128,,
Paroscientific,Paroscientific meterological sensor,69937,,
Paroscientific,Paroscientific meterological sensor,69947,,
Paroscientific,Paroscientific meterological sensor,69948,,
Paroscientific,Paroscientific meterological sensor,75128,,
Paroscientific,Paroscientific meterological sensor,78879,,
Vaisala Pty Ltd,WS425,D3540003,13558,
Vaisala Pty Ltd,WXT520,F4020013,14005,
Vaisala Pty Ltd,WXT520,K1110008,14966,
