Gauge,Number,Constituent,Amplitude,Lag,Start Date,End Date
OTAT,1,Z0,111.9086,0,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,2,Q1,0.9754,37.07,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,3,O1,2.8872,51.83,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,4,P1,0.9447,91.55,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,5,K1,2.6964,90.12,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,6,EPS2,0.3992,27.22,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,7,2N2,2.3698,41.01,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,8,MU2,2.0833,48.64,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,9,N2,17.78,70.29,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,10,NU2,3.4956,73.37,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,11,H1,0.6899,13.77,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,12,M2,77.428,99.4,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,13,H2,0.4902,327.52,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,14,LDA2,0.8605,78.8,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,15,L2,2.5239,94.93,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,16,S2,9.6171,110.44,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,17,K2,3.1924,98.01,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,18,SK3,0.5901,294.85,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,19,MN4,0.8293,196.54,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,20,M4,1.1298,200.29,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,21,MS4,0.4152,198.34,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,22,2MN6,0.9237,264.7,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,23,M6,1.5875,299.93,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,24,2MS6,0.4971,311.97,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
OTAT,25,M8,0.2221,83.27,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,1,Z0,11.2714,0,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,2,Q1,0.7754,48.24,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,3,O1,2.5452,51.28,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,4,P1,1.4832,100.01,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,5,S1,1.0575,212.93,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,6,K1,4.6079,94.68,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,7,EPS2,0.6091,40.74,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,8,2N2,2.6123,59.35,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,9,MU2,2.9501,60.91,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,10,N2,19.1924,89.65,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,11,NU2,3.6012,93.93,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,12,M2,83.4363,125.55,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,13,L2,1.8929,160.28,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,14,S2,5.4494,151.84,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,15,K2,1.826,121.83,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,16,SK3,0.5647,278.57,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,17,M4,0.5722,72.95,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,18,MS4,0.3989,132.34,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,19,M6,0.6521,80.38,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
SUMT,20,2MS6,0.6001,148.12,2010-02-25T00:00:00Z,9999-01-01T00:00:00Z
